PaintingID,Title,HeightInches,WidthInches,ImageBaseName
1,"2 Boys In The City",12,9,"2boysincity"
2,"Nite Cookie",12,9,"batwithstars"
3,"Blueberries",56,56,"blueberries"
4,"Aurora",12,9,"bluephoenix"
5,"Bombers",40,33,"bombers"
6,"Bronx Cheer",12,9,"boxerpurple"
7,"Take Ecstasy w/ Me",12,9,"boxers"
8,"Breathe Salt",56,56,"breathesalt"
9,"Buddha Of Suburbia",40,33,"buddhaofsuburbia"
10,"Canopy",56,56,"canopy"
11,"Chemical Brothers",40,33,"chemicalbrothers"
12,"Drinking In LA",56,56,"drinkinginla"
13,"Drums Are Dangerous",56,56,"drumsaredangerous"
14,"King Of Inertia",56,56,"kingofinertia"
15,"Mosh Pit",56,56,"moshpit"
16,"Paste",56,56,"paste"
17,"Coney Island Cyclone",12,9,"planterspeanut"
18,"Bell",12,9,"robottoys"
19,"Let's Go Native",12,9,"santa"
20,"Sinking In LA",56,56,"sinkinginla"
21,"The Cruise",12,9,"snowflakesanta"
22,"South Of Capo",56,56,"southofcapo"
23,"The Infinite Posse",56,56,"theinfiniteposse"
24,"Thinking In LA",56,56,"thinkinginla"
25,"Passengers",12,9,"twosoldiers"
26,"Voodoo People",40,33,"voodoopeople"
27,"X-Mas Jamboree",12,9,"xmasjamboree"
28,"Sugar World",12,9,"yellowboy"
29,"Army Of Me",0,0,"armyofme"
30,"Blue Nude At Amherst",0,0,"bluenudeatamherst"
31,"Born Slippy",0,0,"bornslippy"
32,"Congo",0,0,"congo"
33,"Ghetto Head",40,33,"ghettohead"
34,"Hot Fries!",0,0,"hotfries"
35,"Hymn Of The Big Wheel",0,0,"hymnofthebigwheel"
36,"I'm An Agent",0,0,"imanagent"
37,"Juno Reactor",0,0,"junoreactor"
38,"Kettle Whistle",0,0,"kettlewhistle"
39,"Mandinka",0,0,"mandinka"
40,"Messiahs Of The Milk Bar",0,0,"messiahsofthemilkbar"
41,"My Shadow In Vain",0,0,"myshadowinvain"
42,"My Shadow In Vain Part 2",0,0,"myshadowinvainpt2"
43,"Pistachio Part 2",0,0,"pistachiopt2"
44,"Please Push No More",0,0,"pleasepushnomore"
45,"Propaganda",0,0,"propaganda"
46,"Real Estate",0,0,"realestate"
47,"Reversal",40,33,"reversal"
48,"Shiver",0,0,"shiver"
49,"Sinead Versus Ashtar Command",0,0,"sineadversusashtarcommand"
50,"Superheroes Part 1",0,0,"superheroespt1"
51,"Superheroes Part 3",0,0,"superheroespt3"
52,"The Negotiation",0,0,"thenegotiation"
53,"Transcentral",40,33,"transcentral"
54,"Unreflected",0,0,"unreflected"
55,"We Are Just Noise",0,0,"wearejustnoise"
56,"Weather Experience",0,0,"weatherexperience"
57,"We Take Mystery To Bed",0,0,"wetakemysterytobed"
58,"Will Sin And Mr. C",0,0,"willsinandmrc"
59,"Vitamin C",56,56,"vitaminc"
60,"Tidepool",56,56,"tidepool"
61,"Color Filter",12,9,"sunwithglasses"
62,"Way Out West",12,9,"snowman"
63,"Pacific Ocean Park",56,56,"pacificoceanpark"
64,"One 2 Many Mornings",40,33,"one2manymornings"
65,"Mr. Bubbles",12,9,"mrbubbles"
66,"Mars Landing Party",56,56,"marslandingparty"
67,"Leaving This Island",56,56,"leavingthisisland"
68,"J'nuh",39,31,"jnuh"
69,"Jingle",12,9,"indiansunman"
70,"Hong Kong Farewell",56,56,"hongkongfarewell"
71,"Star Fruit",12,9,"greenmanwithbirds"
